;SIM2;SIM1;BUFFER;BOS;ARROZ;EU;LAG;MIX;PINO;PAS;RIO;SIM
SIM2;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000;0.0000
SIM1;0.0000;0.5556;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.4444;0.0000;0.0000
BUFFER;0.0000;0.0000;0.5888;0.0724;0.0038;0.0105;0.0013;0.0000;0.1750;0.1482;0.0000;0.0000
BOS;0.0000;0.0000;0.0167;0.9589;0.0025;0.0010;0.0000;0.0000;0.0052;0.0157;0.0000;0.0000
ARROZ;0.0000;0.0000;0.0019;0.0398;0.9526;0.0000;0.0000;0.0000;0.0000;0.0028;0.0028;0.0000
EU;0.0000;0.0000;0.1265;0.0439;0.0018;0.5747;0.0000;0.0000;0.1916;0.0615;0.0000;0.0000
LAG;0.0000;0.0000;0.0000;0.0175;0.0000;0.0000;0.9793;0.0000;0.0022;0.0000;0.0011;0.0000
MIX;0.0000;0.0000;0.0345;0.0230;0.0000;0.0920;0.0000;0.4828;0.3333;0.0345;0.0000;0.0000
PINO;0.0000;0.0000;0.0378;0.0217;0.0008;0.0020;0.0000;0.0004;0.8929;0.0441;0.0000;0.0002
PAS;0.0000;0.0000;0.0392;0.0295;0.0048;0.0023;0.0002;0.0000;0.0853;0.8365;0.0021;0.0000
RIO;0.0000;0.0000;0.0000;0.0100;0.0896;0.0000;0.0249;0.0000;0.0000;0.1642;0.7114;0.0000
SIM;0.0000;0.0000;0.1364;0.0455;0.0000;0.0000;0.0000;0.0000;0.2727;0.3636;0.0000;0.1818
